,question_idx,claim,label,evidence,assertions
0,146,International Relations only includes the entertainment industry.,REFUTES,"International relations (IR) are the interactions among sovereign states. The scientific study of those interactions is also referred to as international studies, international politics,[2] or international affairs.[3] In a broader sense, the study of IR, in addition to multilateral relations, concerns all activities among states—such as war, diplomacy, trade, and foreign policy—as well as relations with and among other international actors, such as intergovernmental organizations (IGOs), international nongovernmental organizations (INGOs), international legal bodies, and multinational corporations (MNCs).[4][5] There are several schools of thought within IR, of which the most prominent are realism, liberalism, and constructivism.. International relations is widely classified as a major subdiscipline of political science, along with comparative politics, political theory, political methodology, and public administration.[6][7] It also often draws heavily from other fields, including anthropology, economics, geography, law, philosophy, sociology, and history.[8]. While international politics has been analyzed since antiquity, international relations did not become a discrete field until 1919, when it was first offered as an undergraduate major by Aberystwyth University in the United Kingdom.[6][9] After the Second World War, international relations burgeoned in both importance and scholarship—particularly in North America and Western Europe—partly in response to the geostrategic concerns of the Cold War. The collapse of the Soviet Union and subsequent rise of globalization in the late 20th century presaged new theories and evaluations of the rapidly changing international system.[10].","1. The observation states that International Relations concerns activities among states such as war, diplomacy, trade, and foreign policy, as well as relations with other international actors such as intergovernmental organizations, international nongovernmental organizations, international legal bodies, and multinational corporations. It also draws from other fields such as anthropology, economics, geography, law, philosophy, sociology, and history. This suggests that International Relations is not limited to the entertainment industry. 
"
1,1591,David Hasselhoff has appeared in American television programs.,SUPPORTS,"David Michael Hasselhoff (born July 17, 1952),[1] nicknamed ""The Hoff"",[2] is an American actor, singer, and television personality. He has set a Guinness World Record as the most watched man on TV.[3] Hasselhoff first gained recognition on The Young and The Restless (1975–1982), playing the role of Dr. Snapper Foster. His career continued with his leading role as Michael Knight on Knight Rider (1982–1986) and as L.A. County Lifeguard Mitch Buchannon in Baywatch (1989–2000).","1. The observation says that David Hasselhoff is an ""American actor, singer, and television personality"" and that he has appeared in American television programs like The Young and The Restless, Knight Rider, and Baywatch. 
"
2,1747,Klute was directed by Alan J. Pakula.,SUPPORTS,"Klute is a 1971 American neo-noir psychological thriller film[3][4] directed and produced by Alan J. Pakula, and starring Jane Fonda, Donald Sutherland, Charles Cioffi and Roy Scheider. Its plot follows a high-priced New York City call girl who assists a detective from Pennsylvania in solving the missing person case of a john who may be stalking her.[5] It is the first installment of what has informally come to be known as Pakula's ""paranoia trilogy"", followed by The Parallax View (1974) and All the President's Men (1976), all films dealing with themes of paranoia, conspiracies and surveillance.[6][7]. The original screenplay for Klute was written by brothers Andy and Dave Lewis, with Andy drawing inspiration from a serial he read as a child about a man attempting to solve his brother's murder in a city. Principal photography took place in late 1970 and early 1971 in New York City..","1. The observation says that Klute was ""directed and produced by Alan J. Pakula,"" so the claim is true. 
"
3,48,Sophie Turner was born in the 1990s.,SUPPORTS,"Sophie Belinda Turner (born 21 February 1996)[2] is an English actress. She made her acting debut as Sansa Stark in the HBO epic fantasy television series Game of Thrones (2011–2019), for which she received an Emmy Award nomination for Outstanding Supporting Actress in a Drama Series in 2019.. Turner appeared in the 2013 British drama television film The Thirteenth Tale and made her feature film debut in the psychological thriller Another Me (2013). She appeared in the action comedy Barely Lethal (2015) and portrayed a young Jean Grey / Phoenix in the X-Men film series (2016–2019).. Sophie Belinda Turner was born in Northampton,[3] England on 21 February 1996, the daughter of Sally, a nursery school teacher, and Andrew, who works for a pallet distribution company.[4] She moved to Chesterton, Warwickshire when she was 2 years old.","1. Sophie Turner was born in 1996, which is in the 1990s. 
"
4,1381,David Beckham is from America.,REFUTES,"David Robert Joseph Beckham OBE (/ˈbɛkəm/ BEK-əm;[5] born 2 May 1975) is an English former professional footballer, the current president and co-owner of Inter Miami and co-owner of Salford City.[6] Known for his range of passing, crossing ability, and bending free-kicks as a right winger, Beckham has been hailed as one of the greatest and most recognisable midfielders of his generation, as well as one of the best set-piece specialists of all time.[7][8] Due to his talent and achievements for both club and country, Beckham is lauded as one of the greatest Manchester United footballers of all time,[9][10][11] as well as one of the best English players in the history of the sport.[12][13][14] He is the first English player to win league titles in four countries: England, Spain, the United States and France.. Beckham's professional club career began with Manchester United, where he made his first-team debut in 1992 at age 17.[15] With United, he won the Premier League title six times, the FA Cup twice and the UEFA Champions League in 1999.[15] He then played four seasons with Real Madrid,[16] winning the La Liga championship in his final season with the club.[17] In July 2007, Beckham signed a five-year contract with Major League Soccer club LA Galaxy.[18] While a Galaxy player, he spent two loan spells in Italy with AC Milan in 2009 and 2010. He was the first British footballer to play 100 UEFA Champions League games.[15] He retired in May 2013 after a 20-year career, during which he won 19 major trophies.[19][20]. In international football, Beckham made his England debut on 1 September 1996, at the age of 21. He was captain for six years, earning 58 caps during his tenure.[21][22] He made 115 career appearances in total, appearing at three FIFA World Cup tournaments, in 1998, 2002 and 2006 and two UEFA European Championship tournaments, in 2000 and 2004.","1. The observation says that David Beckham is an English former professional footballer. Therefore, he is not from America. 
"
5,2046,Nina Simone was enrolled in Juilliard.,SUPPORTS,"Nina Simone (born Eunice Kathleen Waymon; February 21, 1933 – April 21, 2003) (/ˌniːnə sɪˈmoʊn/)[1] was an American singer, songwriter, pianist, composer, arranger and civil rights activist. Her music spanned styles including classical, folk, gospel, blues, jazz, R&B, and pop.. The sixth of eight children born into a poor family in North Carolina, Simone initially aspired to be a concert pianist.[2] With the help of a few supporters in her hometown, she enrolled in the Juilliard School of Music in New York City.[3] She then applied for a scholarship to study at the Curtis Institute of Music in Philadelphia, where, despite a well received audition, she was denied admission,[4] which she attributed to racism. In 2003, just days before her death, the Institute awarded her an honorary degree.[5]. To make a living, Simone started playing piano at a nightclub in Atlantic City.","1. The observation says that Nina Simone ""enrolled in the Juilliard School of Music in New York City"". Therefore, she was enrolled in Juilliard. 
"
6,1625,The Formula (1980 film) is directed by Michael Bay.,REFUTES,"The Formula is a 1980 mystery film directed by John G. Avildsen. It was produced and written by Steve Shagan, who adapted his own 1979 novel The Formula. It stars Marlon Brando, George C. Scott, Marthe Keller, John Gielgud, G.","1. The observation says that The Formula (1980 film) was directed by John G. Avildsen, not Michael Bay. 
"
7,2489,Islam's followers are known as Sunni Muslims or Shia Muslims.,SUPPORTS,"Could not find Followers of Islam. Similar: ['Islam', 'Islam in the Philippines', 'Shia Islam', 'Jesus in Islam', 'Ibadi Islam'].In terms of Ihsan:. Sunni Islam (/ˈsuːni, ˈsʊni/) is the largest branch of Islam, followed by 85–90% of the world's Muslims, and simultaneously the largest religious denomination in the world. Its name comes from the word Sunnah, referring to the tradition of Muhammad.[1][2] The differences between Sunni and Shia Muslims arose from a disagreement over the succession to Muhammad and subsequently acquired broader political significance, as well as theological and juridical dimensions.[3] According to Sunni traditions, Muhammad left no successor and the participants of the Saqifah event appointed Abu Bakr as the next-in-line (the first caliph).[3][4][5] This contrasts with the Shia view, which holds that Muhammad appointed his son-in-law and cousin Ali ibn Abi Talib as his successor.[6]. The adherents of Sunni Islam are referred to in Arabic as ahl as-sunnah wa l-jamāʻah (""the people of the Sunnah and the community"") or ahl as-Sunnah for short. In English, its doctrines and practices are sometimes called Sunnism,[7] while adherents are known as Sunni Muslims, Sunnis, Sunnites and Ahlus Sunnah.","1. Since I couldn't find information about the followers of Islam, I should search for Sunni Muslims and Shia Muslims separately. 
2. The observation states that Sunni Muslims are known as Sunni Muslims, supporting the claim.  
"
8,98,Snowden's cast includes two actors born in 1934.,NOT ENOUGH INFO,"Could not find Snowden cast. Similar: ['Snowden (film)', 'Edward Snowden', 'Edward Snowden in popular culture', 'Jimmy Snowden', 'Jonny Lee Miller'].",
9,1021,Father of the Bride stars B. D. Wong as Wesley Wyndam-Pryce.,NOT ENOUGH INFO,"Could not find [Father of the Bride]. Similar: ['Father of the Bride (1991 film)', 'Father of the Bride (franchise)', 'Father of the Bride Part II', 'Father of the Bride (album)', 'Father of the Bride (2022 film)'].Father of the Bride is a 1991 American romantic comedy film starring Steve Martin, Diane Keaton, Kimberly Williams (in her film debut), George Newbern, Martin Short, BD Wong, and Kieran Culkin. It is a remake of the 1950 film of the same name. Martin portrays George Banks, a businessman and owner of an athletic shoe company (called Side Kicks) who, when he finds out his daughter is getting married, panics.. The film opened to positive reviews, and became a box office success. With its success, a sequel, Father of the Bride Part II, was released in 1995.","1. Observation 2 mentions that BD Wong is in the movie Father of the Bride, but it does not specify if he plays the character Wesley Wyndam-Pryce. I am not sure if this claim is true or not. 
"
